epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3757,1.4671,3.34447,1.72968,0.11226,0.22057,0.16993,0.08751,1.68132,3.63316,2.24168,0.000366351,0.000366351,0.000366351
2,20.2118,1.3311,2.65407,1.55268,0.20212,0.48325,0.2202,0.1134,1.65471,2.99444,2.32622,0.00073085,0.00073085,0.00073085
3,28.5875,1.36709,2.42241,1.57213,0.23388,0.52221,0.27189,0.15719,1.52428,2.71319,2.01603,0.00108948,0.00108948,0.00108948
4,37.0063,1.37318,2.272,1.56398,0.2412,0.53383,0.28838,0.14015,1.65261,2.64183,2.04988,0.0010846,0.0010846,0.0010846
5,45.261,1.30191,1.98812,1.50833,0.26983,0.54862,0.28934,0.15782,1.5605,2.11745,1.94603,0.0010758,0.0010758,0.0010758
6,53.5099,1.28365,1.87959,1.49314,0.35463,0.64026,0.42275,0.24635,1.51655,1.86449,2.02606,0.001067,0.001067,0.001067
7,61.7815,1.26427,1.77156,1.47974,0.348,0.60643,0.444,0.27695,1.40958,1.74969,1.83463,0.00105821,0.00105821,0.00105821
8,70.0946,1.19694,1.68456,1.41661,0.30154,0.57262,0.39487,0.24866,1.36492,1.81002,1.80489,0.00104941,0.00104941,0.00104941
9,78.3084,1.19699,1.63103,1.44091,0.30549,0.62384,0.39211,0.23836,1.37789,1.73622,1.80372,0.00104061,0.00104061,0.00104061
10,86.5027,1.18651,1.61067,1.41429,0.359,0.56777,0.37949,0.23063,1.45082,1.81896,1.88557,0.00103181,0.00103181,0.00103181
11,94.6826,1.17227,1.56802,1.41722,0.3519,0.60248,0.46455,0.27694,1.36495,1.63915,1.79302,0.00102301,0.00102301,0.00102301
12,103.01,1.13679,1.50101,1.38427,0.31905,0.57033,0.43761,0.26419,1.39496,1.68291,1.80715,0.00101421,0.00101421,0.00101421
13,111.261,1.16621,1.49417,1.39878,0.36663,0.66477,0.47346,0.28438,1.34941,1.67863,1.77939,0.00100541,0.00100541,0.00100541
14,119.505,1.12833,1.44525,1.3696,0.4496,0.62191,0.52416,0.32834,1.38623,1.60803,1.84455,0.000996611,0.000996611,0.000996611
15,127.731,1.08338,1.3956,1.34386,0.43169,0.57399,0.48351,0.2918,1.4586,1.64608,1.88265,0.000987812,0.000987812,0.000987812
16,136.043,1.08394,1.37058,1.34764,0.4088,0.54452,0.46932,0.29634,1.42236,1.68478,1.88352,0.000979013,0.000979013,0.000979013
17,144.322,1.10724,1.32836,1.36947,0.53968,0.45456,0.45659,0.28622,1.43636,1.72049,1.92487,0.000970214,0.000970214,0.000970214
18,152.537,1.07853,1.33575,1.33501,0.31558,0.64405,0.43076,0.26364,1.46793,1.75769,1.96383,0.000961415,0.000961415,0.000961415
19,160.763,1.06138,1.30741,1.33042,0.47798,0.54617,0.50714,0.30779,1.42081,1.6274,1.88902,0.000952616,0.000952616,0.000952616
20,169.002,1.05231,1.25676,1.33201,0.493,0.57099,0.539,0.3456,1.36776,1.53884,1.80654,0.000943817,0.000943817,0.000943817
21,177.289,1.04823,1.25956,1.32183,0.39611,0.55645,0.45968,0.28673,1.37945,1.68507,1.80969,0.000935018,0.000935018,0.000935018
