epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,350.435,0.90262,0.94122,1.22447,0.55867,0.60983,0.56482,0.34475,1.41964,1.72117,1.94247,0.000885523,0.000885523,0.000885523
43,358.584,0.8892,0.92491,1.21236,0.59253,0.5278,0.5301,0.3389,1.37273,1.6338,1.87854,0.000880023,0.000880023,0.000880023
44,366.816,0.85948,0.9276,1.20141,0.55653,0.53801,0.55062,0.36192,1.33485,1.58098,1.84412,0.000874524,0.000874524,0.000874524
45,374.986,0.88095,0.93775,1.21159,0.55132,0.45573,0.50162,0.30867,1.36167,1.66647,1.84334,0.000869024,0.000869024,0.000869024
46,383.202,0.86415,0.91386,1.19254,0.51937,0.63539,0.54875,0.35926,1.36234,1.62,1.88384,0.000863525,0.000863525,0.000863525
47,391.408,0.83446,0.87655,1.18178,0.61829,0.5814,0.58804,0.36722,1.4727,1.68157,2.02588,0.000858025,0.000858025,0.000858025
48,399.627,0.83648,0.85498,1.19758,0.5724,0.6176,0.56658,0.36327,1.37841,1.6213,1.90361,0.000852526,0.000852526,0.000852526
49,407.689,0.81369,0.82465,1.17912,0.59803,0.54035,0.53491,0.34573,1.3619,1.7433,1.87723,0.000847026,0.000847026,0.000847026
50,415.838,0.82562,0.84749,1.16336,0.50383,0.49585,0.51037,0.32602,1.35708,1.71177,1.85463,0.000841527,0.000841527,0.000841527
51,423.981,0.83368,0.85897,1.17849,0.49148,0.60674,0.56477,0.3567,1.38869,1.61903,1.922,0.000836027,0.000836027,0.000836027
52,432.145,0.84375,0.83262,1.18294,0.60028,0.53333,0.52434,0.31951,1.49271,1.71309,2.00854,0.000830528,0.000830528,0.000830528
53,440.34,0.86217,0.81996,1.19744,0.53587,0.59268,0.5876,0.37491,1.38479,1.64331,1.88675,0.000825029,0.000825029,0.000825029
54,448.61,0.88344,0.87653,1.22193,0.46602,0.62554,0.53514,0.33252,1.4401,1.79402,1.94046,0.000819529,0.000819529,0.000819529
55,456.802,0.80736,0.81297,1.16235,0.60658,0.55931,0.57262,0.36414,1.44287,1.64382,2.03283,0.00081403,0.00081403,0.00081403
56,465.026,0.81949,0.79213,1.15748,0.51963,0.53519,0.54348,0.34789,1.37354,1.7519,1.90825,0.00080853,0.00080853,0.00080853
57,473.202,0.82371,0.81596,1.1603,0.53337,0.62552,0.59022,0.38268,1.36319,1.62308,1.89653,0.000803031,0.000803031,0.000803031
58,481.363,0.79701,0.77972,1.14912,0.52782,0.58099,0.53989,0.34883,1.35166,1.70583,1.86403,0.000797531,0.000797531,0.000797531
59,489.509,0.81502,0.80199,1.16045,0.58156,0.56705,0.56833,0.37378,1.33586,1.6114,1.88468,0.000792032,0.000792032,0.000792032
60,497.681,0.80137,0.76879,1.15349,0.64592,0.54956,0.60148,0.3733,1.36899,1.55645,1.92566,0.000786532,0.000786532,0.000786532
61,505.856,0.78531,0.72681,1.14191,0.62404,0.55237,0.54812,0.33626,1.37588,1.74355,1.88053,0.000781033,0.000781033,0.000781033
62,514.026,0.77604,0.761,1.13686,0.55508,0.50037,0.52339,0.32468,1.40363,1.69882,1.89652,0.000775534,0.000775534,0.000775534
63,522.15,0.78154,0.74928,1.14026,0.56702,0.54482,0.55606,0.349,1.36844,1.70482,1.87216,0.000770034,0.000770034,0.000770034
64,530.34,0.78887,0.7832,1.14625,0.6287,0.50202,0.54074,0.34968,1.42068,1.76485,1.94455,0.000764535,0.000764535,0.000764535
65,538.526,0.78634,0.7323,1.15589,0.51604,0.61963,0.55748,0.3544,1.35097,1.68554,1.83602,0.000759035,0.000759035,0.000759035
66,546.748,0.78402,0.72865,1.14055,0.62162,0.5387,0.55196,0.35593,1.33894,1.78396,1.89179,0.000753536,0.000753536,0.000753536
67,554.965,0.74872,0.72692,1.12918,0.4261,0.60514,0.52513,0.32968,1.36165,1.80225,1.96761,0.000748036,0.000748036,0.000748036
68,563.191,0.77826,0.75168,1.14372,0.60558,0.53207,0.56164,0.35423,1.32342,1.66825,1.90232,0.000742537,0.000742537,0.000742537
69,571.375,0.75139,0.69652,1.14125,0.48131,0.60287,0.56885,0.36277,1.4041,1.62578,1.98597,0.000737037,0.000737037,0.000737037
70,579.572,0.7464,0.72504,1.12921,0.56782,0.68389,0.58891,0.37347,1.41258,1.67387,2.00372,0.000731538,0.000731538,0.000731538
71,587.774,0.74315,0.67538,1.12415,0.58407,0.56005,0.57132,0.36215,1.39676,1.77447,1.97859,0.000726038,0.000726038,0.000726038
72,595.971,0.74796,0.69426,1.13553,0.65694,0.51962,0.58623,0.37491,1.35635,1.68471,1.91925,0.000720539,0.000720539,0.000720539
73,604.148,0.74107,0.71046,1.12704,0.55572,0.59039,0.52822,0.3388,1.38493,1.78343,1.99361,0.00071504,0.00071504,0.00071504
74,612.349,0.75207,0.67326,1.12551,0.64807,0.51298,0.55194,0.36003,1.36899,1.68606,1.91728,0.00070954,0.00070954,0.00070954
75,620.549,0.73519,0.66265,1.11452,0.57862,0.58343,0.56477,0.36116,1.36057,1.69495,1.90025,0.000704041,0.000704041,0.000704041
76,628.761,0.7355,0.68061,1.10366,0.48167,0.61334,0.5554,0.34421,1.42162,1.83888,1.98413,0.000698541,0.000698541,0.000698541
77,636.959,0.71691,0.65294,1.10808,0.57694,0.55138,0.55684,0.35587,1.36471,1.74161,1.9704,0.000693042,0.000693042,0.000693042
78,645.098,0.7213,0.67658,1.09987,0.56884,0.49654,0.55064,0.36001,1.29584,1.70659,1.86492,0.000687542,0.000687542,0.000687542
79,653.264,0.71801,0.63618,1.10568,0.44659,0.62443,0.53817,0.34722,1.37634,1.7919,1.94642,0.000682043,0.000682043,0.000682043
80,661.441,0.71113,0.66788,1.10521,0.59175,0.5248,0.5558,0.36475,1.36915,1.76051,1.96635,0.000676543,0.000676543,0.000676543
81,669.636,0.69443,0.66812,1.09314,0.53147,0.62608,0.58729,0.38132,1.3573,1.65611,1.96013,0.000671044,0.000671044,0.000671044
82,677.812,0.7008,0.63989,1.09777,0.63441,0.53575,0.57403,0.36394,1.40968,1.578,1.98811,0.000665545,0.000665545,0.000665545
83,686.025,0.69563,0.64716,1.07833,0.56428,0.59855,0.56746,0.3724,1.32908,1.61477,1.92728,0.000660045,0.000660045,0.000660045
84,694.148,0.67249,0.62997,1.08768,0.51509,0.61617,0.59763,0.37449,1.32138,1.57592,1.91968,0.000654546,0.000654546,0.000654546
85,702.299,0.68528,0.61984,1.09405,0.48705,0.65307,0.5775,0.37284,1.37573,1.59957,1.95938,0.000649046,0.000649046,0.000649046
86,710.432,0.70307,0.66691,1.09555,0.55531,0.58696,0.57787,0.36674,1.39463,1.73871,2.00645,0.000643547,0.000643547,0.000643547
87,718.574,0.6783,0.64628,1.07769,0.51201,0.57835,0.51266,0.33787,1.33589,1.87033,1.88817,0.000638047,0.000638047,0.000638047
88,726.716,0.69415,0.65346,1.10245,0.63415,0.57015,0.59969,0.38581,1.33963,1.5335,1.96283,0.000632548,0.000632548,0.000632548
89,734.956,0.67492,0.63157,1.08306,0.51894,0.67274,0.56559,0.35481,1.34823,1.70317,1.91732,0.000627048,0.000627048,0.000627048
90,743.154,0.67737,0.62009,1.0894,0.70127,0.56173,0.60255,0.39687,1.32554,1.7184,1.94399,0.000621549,0.000621549,0.000621549
91,751.372,0.67159,0.58348,1.07441,0.65822,0.62741,0.61716,0.39607,1.34185,1.50206,1.95159,0.000616049,0.000616049,0.000616049
92,759.64,0.66647,0.61974,1.06018,0.53967,0.57143,0.52783,0.3391,1.36149,1.70565,1.98592,0.00061055,0.00061055,0.00061055
93,767.835,0.64937,0.58778,1.06805,0.55797,0.55718,0.55879,0.36758,1.34492,1.87685,1.98785,0.000605051,0.000605051,0.000605051
94,775.995,0.67387,0.59168,1.07469,0.45659,0.61226,0.49205,0.31693,1.37004,1.92562,2.00187,0.000599551,0.000599551,0.000599551
95,784.177,0.6833,0.64306,1.07946,0.52982,0.59166,0.50427,0.3272,1.37018,1.8319,1.98718,0.000594052,0.000594052,0.000594052
96,792.403,0.65044,0.60383,1.06892,0.56934,0.60657,0.57674,0.37731,1.35091,1.66616,1.95,0.000588552,0.000588552,0.000588552
97,800.589,0.66075,0.57973,1.07783,0.55209,0.6284,0.54414,0.35402,1.39847,1.70554,2.02177,0.000583053,0.000583053,0.000583053
98,808.717,0.66968,0.58105,1.07539,0.57818,0.65917,0.58012,0.37191,1.35173,1.71856,1.93074,0.000577553,0.000577553,0.000577553
99,816.875,0.6366,0.59317,1.05052,0.56328,0.63795,0.57696,0.35386,1.40717,1.67638,2.07076,0.000572054,0.000572054,0.000572054
100,825.072,0.65244,0.57465,1.07438,0.513,0.65889,0.54975,0.35164,1.35641,1.63248,1.99207,0.000566554,0.000566554,0.000566554
101,833.263,0.63604,0.57121,1.0603,0.5997,0.54224,0.55665,0.35537,1.40154,1.80505,2.06835,0.000561055,0.000561055,0.000561055
102,841.411,0.62123,0.57337,1.05835,0.47444,0.64464,0.54349,0.3576,1.36491,1.82699,1.99253,0.000555556,0.000555556,0.000555556
103,849.521,0.63239,0.54425,1.0572,0.50349,0.60663,0.54805,0.3575,1.35195,1.79866,1.96089,0.000550056,0.000550056,0.000550056
104,857.707,0.63746,0.54413,1.05177,0.5172,0.55081,0.52862,0.33768,1.37081,1.76462,2.00191,0.000544557,0.000544557,0.000544557
105,865.904,0.60186,0.5326,1.03711,0.65395,0.52371,0.58997,0.38247,1.34944,1.63096,2.04274,0.000539057,0.000539057,0.000539057
106,874.096,0.61953,0.55467,1.04819,0.54133,0.59379,0.55009,0.36154,1.36062,1.76797,2.01604,0.000533558,0.000533558,0.000533558
107,882.252,0.63984,0.64611,1.04717,0.56774,0.52543,0.53677,0.35256,1.32663,1.60345,1.97051,0.000528058,0.000528058,0.000528058
108,890.382,0.61546,0.57138,1.04525,0.56487,0.61824,0.549,0.35036,1.36453,1.87185,2.05544,0.000522559,0.000522559,0.000522559
109,898.538,0.60909,0.54951,1.03828,0.42028,0.66268,0.52358,0.33576,1.37285,1.8201,2.11274,0.000517059,0.000517059,0.000517059
110,906.659,0.62903,0.57078,1.05548,0.60458,0.61229,0.60951,0.38731,1.33647,1.64601,1.99148,0.00051156,0.00051156,0.00051156
111,914.818,0.62315,0.55111,1.05308,0.49069,0.62725,0.5336,0.35112,1.35148,1.91122,2.03132,0.00050606,0.00050606,0.00050606
112,923.047,0.6217,0.5416,1.04101,0.54236,0.56315,0.56951,0.38891,1.35135,1.83267,2.07294,0.000500561,0.000500561,0.000500561
113,931.279,0.59735,0.53058,1.04063,0.59398,0.58636,0.56774,0.38167,1.31394,1.71934,1.96797,0.000495062,0.000495062,0.000495062
114,939.509,0.60401,0.54428,1.04455,0.58933,0.57268,0.60008,0.39054,1.34453,1.5188,1.96719,0.000489562,0.000489562,0.000489562
115,947.704,0.6063,0.55803,1.03623,0.64816,0.56424,0.58928,0.37943,1.3596,1.7541,2.04522,0.000484063,0.000484063,0.000484063
116,955.962,0.5857,0.52565,1.03123,0.68756,0.51619,0.60068,0.3859,1.34878,1.64237,2.01614,0.000478563,0.000478563,0.000478563
117,964.117,0.61091,0.58282,1.04805,0.58552,0.57029,0.59068,0.39207,1.31034,1.6418,1.95799,0.000473064,0.000473064,0.000473064
118,972.255,0.61762,0.56767,1.04539,0.5686,0.52091,0.59157,0.38034,1.37185,1.65049,1.99805,0.000467564,0.000467564,0.000467564
119,980.444,0.58484,0.50783,1.03224,0.50635,0.62358,0.55636,0.36892,1.36909,1.68322,2.04933,0.000462065,0.000462065,0.000462065
120,988.585,0.57645,0.51636,1.01357,0.53141,0.65052,0.57151,0.36868,1.39733,1.85226,2.1177,0.000456565,0.000456565,0.000456565
121,996.764,0.60164,0.50743,1.03182,0.56075,0.60874,0.58423,0.37696,1.35107,1.63862,1.99986,0.000451066,0.000451066,0.000451066
122,1004.93,0.58296,0.50131,1.03556,0.5328,0.61308,0.56314,0.37557,1.32888,1.6803,1.9593,0.000445567,0.000445567,0.000445567
123,1013.13,0.5916,0.52072,1.04067,0.54971,0.6102,0.55846,0.36108,1.39668,1.78605,2.12584,0.000440067,0.000440067,0.000440067
124,1021.31,0.56275,0.48448,1.02219,0.58613,0.56358,0.57127,0.37324,1.39926,1.90267,2.08159,0.000434568,0.000434568,0.000434568
125,1029.54,0.56872,0.49939,1.01963,0.58777,0.56006,0.54137,0.35959,1.33775,1.68109,2.04096,0.000429068,0.000429068,0.000429068
126,1037.75,0.56622,0.48614,1.02286,0.53701,0.58546,0.55399,0.36791,1.37815,1.76204,2.08514,0.000423569,0.000423569,0.000423569
127,1045.98,0.57029,0.53956,1.03006,0.51875,0.5872,0.55829,0.37886,1.33745,1.75296,2.0182,0.000418069,0.000418069,0.000418069
128,1054.21,0.56464,0.49417,1.02384,0.52581,0.60799,0.59103,0.39553,1.30228,1.5576,1.97284,0.00041257,0.00041257,0.00041257
129,1062.38,0.56496,0.47403,1.01347,0.5446,0.676,0.59357,0.38771,1.34441,1.62897,2.05508,0.00040707,0.00040707,0.00040707
130,1070.56,0.57663,0.4947,1.02471,0.65154,0.51158,0.55167,0.36627,1.30502,1.79061,1.98811,0.000401571,0.000401571,0.000401571
131,1078.73,0.54778,0.46766,1.00929,0.65043,0.52998,0.57324,0.38035,1.35788,1.77014,2.08211,0.000396071,0.000396071,0.000396071
132,1086.96,0.56195,0.51614,1.0144,0.54387,0.62853,0.57165,0.3752,1.37327,1.77838,2.07757,0.000390572,0.000390572,0.000390572
133,1095.14,0.56637,0.4856,1.01494,0.54686,0.6614,0.58423,0.3836,1.3298,1.60911,2.04109,0.000385073,0.000385073,0.000385073
134,1103.37,0.55022,0.48668,1.01494,0.5196,0.62043,0.55608,0.37594,1.33424,1.86081,2.04213,0.000379573,0.000379573,0.000379573
135,1111.57,0.56808,0.47548,1.02445,0.58136,0.54872,0.58062,0.38148,1.32943,1.76604,2.03443,0.000374074,0.000374074,0.000374074
136,1119.78,0.55859,0.47652,1.02345,0.53463,0.6967,0.58466,0.37207,1.36018,1.65117,2.09813,0.000368574,0.000368574,0.000368574
137,1128,0.56327,0.47205,1.01474,0.57718,0.64904,0.60725,0.39559,1.38934,1.58811,2.12028,0.000363075,0.000363075,0.000363075
138,1136.21,0.54831,0.47991,1.01377,0.58354,0.67542,0.60724,0.39183,1.3194,1.62208,2.01408,0.000357575,0.000357575,0.000357575
139,1144.4,0.54213,0.46153,1.01184,0.59583,0.58703,0.56153,0.37415,1.31966,1.78456,2.02286,0.000352076,0.000352076,0.000352076
140,1152.62,0.53882,0.46968,1.00509,0.61333,0.58047,0.57109,0.37185,1.30863,1.70138,1.96738,0.000346576,0.000346576,0.000346576
141,1160.85,0.54108,0.45619,0.99878,0.55183,0.62661,0.58781,0.38495,1.3315,1.737,2.00425,0.000341077,0.000341077,0.000341077
142,1169.04,0.52827,0.45982,0.99786,0.52864,0.57913,0.56655,0.37557,1.33352,1.83011,2.04512,0.000335578,0.000335578,0.000335578
143,1177.22,0.53325,0.44338,1.00152,0.52024,0.60791,0.56673,0.36786,1.36187,1.75631,2.07486,0.000330078,0.000330078,0.000330078
144,1185.42,0.5282,0.4286,0.99276,0.60877,0.56889,0.60266,0.38755,1.35478,1.69741,2.07173,0.000324579,0.000324579,0.000324579
145,1193.61,0.52681,0.443,1.00633,0.55364,0.52886,0.56314,0.36968,1.36415,1.90617,2.07235,0.000319079,0.000319079,0.000319079
146,1201.8,0.51113,0.42057,0.99818,0.56138,0.5673,0.56707,0.36296,1.34362,1.76688,2.06268,0.00031358,0.00031358,0.00031358
147,1210.01,0.53737,0.46,1.00469,0.6087,0.54608,0.5874,0.37736,1.34205,1.74397,2.0676,0.00030808,0.00030808,0.00030808
